name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,LP_time,LP_obj
poi-7-1,1,0.67,16,1,75,135,0,0.086822,1,135,0.00733614,135
poi-7-1,1,0.67,16,1,115,191,0,0.070115,416,191,0.0543911,191
poi-7-1,1,0.67,16,2,75,135,0,1.31727,6640,135,1.28239,135
poi-7-1,1,0.67,16,2,115,191,0,3.82223,12649,191,3.90723,191
poi-7-1,1,0.67,16,3,75,135,0,267.626,408380,135,270.754,135
poi-7-1,1,0.67,16,3,115,191,0.596859,3600.04,4.08E+06,305,-,-
poi-7-1,1,0.67,32,1,75,135,0,0.028976,1,135,0.00870514,135
poi-7-1,1,0.67,32,1,115,191,0,0.072132,369,191,0.0717659,191
poi-7-1,1,0.67,32,2,75,135,0,2.23781,15400,135,2.22605,135
poi-7-1,1,0.67,32,2,115,191,0,6.6112,18898,191,6.57014,191
poi-7-1,1,0.67,32,3,75,135,0,193.603,188639,135,192.819,135
poi-7-1,1,0.67,32,3,115,191,0.596859,3600.04,3.34E+06,305,-,-
poi-7-1,1,1.33,16,1,75,135,0,0.028799,1,135,0.00762582,135
poi-7-1,1,1.33,16,1,115,191,0,0.054585,416,191,0.0572178,191
poi-7-1,1,1.33,16,2,75,135,0,1.54635,6640,135,1.52126,135
poi-7-1,1,1.33,16,2,115,191,0,4.2553,12649,191,4.2457,191
poi-7-1,1,1.33,16,3,75,135,0,261.52,408380,135,264.198,135
poi-7-1,1,1.33,16,3,115,191,0.596859,3600.04,4.08E+06,305,-,-
poi-7-1,1,1.33,32,1,75,135,0,0.030205,1,135,0.00847316,135
poi-7-1,1,1.33,32,1,115,191,0,0.071335,389,191,0.0672858,191
poi-7-1,1,1.33,32,2,75,135,0,1.66096,4263,135,1.68625,135
poi-7-1,1,1.33,32,2,115,191,0,23.8191,51528,191,23.003,191
poi-7-1,1,1.33,32,3,75,135,0,338.051,420868,135,335.792,135
poi-7-1,1,1.33,32,3,115,191,0.732984,3600.04,6.02E+06,331,-,-
poi-7-1,2,0.67,16,1,75,135,0,0.029815,1,135,0.00794816,135
poi-7-1,2,0.67,16,1,115,191,0,0.056481,416,191,0.0560188,191
poi-7-1,2,0.67,16,2,75,135,0,1.43607,6640,135,1.40821,135
poi-7-1,2,0.67,16,2,115,191,0,3.9531,12649,191,4.07477,191
poi-7-1,2,0.67,16,3,75,135,0,264.01,408380,135,266.494,135
poi-7-1,2,0.67,16,3,115,191,0.596859,3600.03,4.05E+06,305,-,-
poi-7-1,2,0.67,32,1,75,135,0,0.030545,1,135,0.0106702,135
poi-7-1,2,0.67,32,1,115,191,0,0.072271,251,191,0.0581188,191
poi-7-1,2,0.67,32,2,75,135,0,1.80464,11345,135,1.80415,135
poi-7-1,2,0.67,32,2,115,191,0,7.72268,21756,191,7.55652,191
poi-7-1,2,0.67,32,3,75,135,0,200.213,217400,135,200.178,135
poi-7-1,2,0.67,32,3,115,191,0.596859,3600.04,4.24E+06,305,-,-
poi-7-1,2,1.33,16,1,75,135,0,0.056317,1,135,0.029016,135
poi-7-1,2,1.33,16,1,115,191,0,0.129615,416,191,0.0510299,191
poi-7-1,2,1.33,16,2,75,135,0,1.64837,6640,135,1.61515,135
poi-7-1,2,1.33,16,2,115,191,0,4.12669,12649,191,4.10489,191
poi-7-1,2,1.33,16,3,75,135,0,266.265,408380,135,268.511,135
poi-7-1,2,1.33,16,3,115,191,0.596859,3600.05,4.02E+06,305,-,-
poi-7-1,2,1.33,32,1,75,135,0,0.034559,1,135,0.0100751,135
poi-7-1,2,1.33,32,1,115,191,0,0.084577,595,191,0.081197,191
poi-7-1,2,1.33,32,2,75,135,0,1.49721,5803,135,1.54697,135
poi-7-1,2,1.33,32,2,115,191,0,29.0809,66020,191,29.8745,191
poi-7-1,2,1.33,32,3,75,135,0,202.838,426776,135,202.709,135
poi-7-1,2,1.33,32,3,115,191,0.732984,3600.04,4.94E+06,331,-,-
